;Setname;Set;Main;Second
1244;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Architektur;dnb:wv:reiheB:sg720;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Architektur
1245;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Plastik, Numismatik, Keramik, Metallkunst;dnb:wv:reiheB:sg730;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Plastik, Numismatik, Keramik, Metallkunst
1246;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Zeichnung, Kunsthandwerk;dnb:wv:reiheB:sg740;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Zeichnung, Kunsthandwerk
1247;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Comics, Cartoon, Karikaturen;dnb:wv:reiheB:sg741.5;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Comics, Cartoon, Karikaturen
1248;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Malerei;dnb:wv:reiheB:sg750;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Malerei
1249;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Grafische Verfahren, Drucke;dnb:wv:reiheB:sg760;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Grafische Verfahren, Drucke
1250;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Fotografie, Computerkunst;dnb:wv:reiheB:sg770;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Fotografie, Computerkunst
1251;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Musik;dnb:wv:reiheB:sg780;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Musik
1252;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Freizeitgestaltung, Darstellende Kunst;dnb:wv:reiheB:sg790;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Freizeitgestaltung, Darstellende Kunst
1253;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - ôffentliche Darbietungen, Film, Rundfunk;dnb:wv:reiheB:sg791;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;ôffentliche Darbietungen, Film, Rundfunk
1254;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Theater, Tanz;dnb:wv:reiheB:sg792;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Theater, Tanz
1255;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Spiel;dnb:wv:reiheB:sg793;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Spiel
1256;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Sport;dnb:wv:reiheB:sg796;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Sport
1257;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Literatur;dnb:wv:reiheB:sg8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Literatur
1258;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Literatur, Rhetorik, Literaturwissenschaft;dnb:wv:reiheB:sg800;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Literatur, Rhetorik, Literaturwissenschaft
1259;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Englische Literatur Amerikas;dnb:wv:reiheB:sg810;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Englische Literatur Amerikas
1260;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Englische Literatur;dnb:wv:reiheB:sg820;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Englische Literatur
1261;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Deutsche Literatur;dnb:wv:reiheB:sg830;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Deutsche Literatur
1262;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Literatur in anderen germanischen Sprachen;dnb:wv:reiheB:sg839;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Literatur in anderen germanischen Sprachen
1263;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Franzîsische Literatur;dnb:wv:reiheB:sg840;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Franzîsische Literatur
1264;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Italienische, rumÑnische, rÑtoromanische Literatur;dnb:wv:reiheB:sg850;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Italienische, rumÑnische, rÑtoromanische Literatur
1265;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Spanische und portugiesische Literatur;dnb:wv:reiheB:sg860;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Spanische und portugiesische Literatur
1266;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Lateinische Literatur;dnb:wv:reiheB:sg870;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Lateinische Literatur
1267;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Griechische Literatur;dnb:wv:reiheB:sg880;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Griechische Literatur
1268;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Literatur in anderen Sprachen;dnb:wv:reiheB:sg890;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Literatur in anderen Sprachen
1269;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Slawische Literatur;dnb:wv:reiheB:sg891.8;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Slawische Literatur
1270;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte und Geografie;dnb:wv:reiheB:sg9;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte und Geografie
1271;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte;dnb:wv:reiheB:sg900;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte
1272;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geografie, Reisen;dnb:wv:reiheB:sg910;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geografie, Reisen
1273;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geografie, Reisen (Deutschland);dnb:wv:reiheB:sg914.3;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geografie, Reisen (Deutschland)
1274;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Biografie, Genealogie, Heraldik;dnb:wv:reiheB:sg920;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Biografie, Genealogie, Heraldik
1275;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Alte Geschichte, ArchÑologie;dnb:wv:reiheB:sg930;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Alte Geschichte, ArchÑologie
1276;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte Europas;dnb:wv:reiheB:sg940;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte Europas
1277;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte Deutschlands;dnb:wv:reiheB:sg943;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte Deutschlands
1278;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte Asiens;dnb:wv:reiheB:sg950;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte Asiens
1279;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte Afrikas;dnb:wv:reiheB:sg960;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte Afrikas
1280;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte Nordamerikas;dnb:wv:reiheB:sg970;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte Nordamerikas
1281;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte SÅdamerikas;dnb:wv:reiheB:sg980;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte SÅdamerikas
1282;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Geschichte der Åbrigen Welt;dnb:wv:reiheB:sg990;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Geschichte der Åbrigen Welt
1283;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Belletristik;dnb:wv:reiheB:sgB;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Belletristik
1284;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Kinder- und Jugendliteratur;dnb:wv:reiheB:sgK;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Kinder- und Jugendliteratur
1285;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - SchulbÅcher;dnb:wv:reiheB:sgS;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;SchulbÅcher
1286;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Abgeschlossene Verîffentlichungen;dnb:wv:reiheB:sgY;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Abgeschlossene Verîffentlichungen
1287;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - Berichtigungen;dnb:wv:reiheB:sgZ;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;Berichtigungen
1288;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels - BestandssÑtze;dnb:wv:reiheB:holdings;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Publikationen ausserhalb des Verlagsbuchhandels;BestandssÑtze
1289;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;dnb:wv:reiheC;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten
1290;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Allgemeines, Informationswissenschaft;dnb:wv:reiheC:sg0;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Allgemeines, Informationswissenschaft
1291;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Allgemeines, Wissenschaft;dnb:wv:reiheC:sg000;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Allgemeines, Wissenschaft
1292;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Informatik;dnb:wv:reiheC:sg004;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Informatik
1293;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Bibliografien;dnb:wv:reiheC:sg010;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Bibliografien
1294;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Bibliotheks- und Informationswissenschaft;dnb:wv:reiheC:sg020;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Bibliotheks- und Informationswissenschaft
1295;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - EnzyklopÑdien;dnb:wv:reiheC:sg030;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;EnzyklopÑdien
1296;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Zeitschriften, fortlaufende Sammelwerke;dnb:wv:reiheC:sg050;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Zeitschriften, fortlaufende Sammelwerke
1297;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Organisationen, Museumswissenschaft;dnb:wv:reiheC:sg060;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Organisationen, Museumswissenschaft
1298;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Nachrichtenmedien, Journalismus, Verlagswesen;dnb:wv:reiheC:sg070;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Nachrichtenmedien, Journalismus, Verlagswesen
1299;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten - Allgemeine Sammelwerke;dnb:wv:reiheC:sg080;Deutsche Nationalbibliografie (nur Datensaetze nach abgeschlossener Bearbeitung): Karten;Allgemeine Sammelwerke
